experiment,settings,duration mean,duration min,duration 75%,duration median,duration 25%,duration max,duration std,duration variance,duration count,interval mean,interval min,interval 75%,interval median,interval 25%,interval max,interval std,interval variance,interval count
20170227-NO-3400-2,250-500 6 peaks (3 and 2),41.83343724062345,10.0,50.625,33.33333333,22.91666667,262.5,29.79178299885562,887.5503342509028,802,702.4196317101623,10.0,413.9583333,93.54166667,33.54166667,27492.08333,2121.07207055395,4498946.728484022,801
20170227-NO-3400-2,250-500 4 peaks (4 and 3),30.562986381361863,10.0,38.697916667499996,25.729166665,17.395833335,130.8333333,18.465271877337873,340.966265504005,514,1130.9896848193957,10.0,801.875,111.25,44.79166667,28263.75,2916.4032100432814,8505407.683550756,513
20170227-NO-3400-2,250-500 5 peaks (4 and 3),33.53920990573113,10.0,42.70833333,28.54166667,20.41666667,130.8333333,18.83824920598969,354.8796331469712,424,1375.1452915346335,10.0,938.4375,143.125,47.08333333,38901.45833,3701.7185664973117,13702720.345550912,423
20170227-NO-3400-2,250-500 6 peaks (4 and 3),36.449048282311985,10.625,45.0,32.08333333,23.645833335,130.8333333,18.91256159629461,357.68498613363766,359,1627.9940642256142,10.0,1133.4375,179.58333335,58.177083332500004,38901.45833,4094.5227092596074,16765116.216642635,358
20170227-NO-3400,80-250 4 peaks (3 and 2),37.94488144099863,10.83333333,47.1875,34.375,24.79166667,149.7916667,18.128384593340584,328.6383279640683,731,781.5702054830823,10.0,660.4166667,156.97916665,57.86458333,11523.75,1614.284926670848,2605915.8244767054,730
20170227-NO-3400,80-250 5 peaks (3 and 2),42.80941358035185,12.29166667,52.135416665,39.375,29.531249997499998,149.7916667,18.103468483647855,327.7355711384312,540,1066.9070810013359,10.41666667,945.4166667,194.5833333,58.541666665,22429.375,2164.786061240761,4686298.690942287,539
20170227-NO-3400,80-250 6 peaks (3 and 2),47.514880952551025,16.25,55.625,44.6875,35.41666667,149.7916667,18.378482257492944,337.768610088983,392,1482.2357204267773,10.41666667,1325.625,320.8333333,65.83333333,22429.375,2873.192472579775,8255234.98448908,391
20170227-NO-3400,80-250 4 peaks (4 and 3),35.07801418446809,10.83333333,44.270833335,31.875,23.33333333,109.375,15.053238896069509,226.60000126213998,235,2520.9998218788037,16.66666667,3248.854167,567.8125,113.6458333,29376.875,4189.231947025554,17549664.305979516,234
20170227-NO-3400,80-250 5 peaks (4 and 3),39.99305555566668,16.66666667,47.70833333,37.91666667,28.645833335,109.375,15.194579333706914,230.87524112831326,150,3922.864932798726,17.08333333,4790.416667,929.7916667,169.375,39110.83333,6256.442797442131,39143076.47766553,149
20170227-NO-3400,80-250 6 peaks (4 and 3),43.329545454545446,19.375,52.916666667499996,41.875,31.718750002500002,109.375,15.518729057695616,240.83095156616625,110,5373.757645091742,17.08333333,7150.833333,1418.125,335.2083333,39110.83333,7846.260816031472,61563808.79319087,109
20170227-NO-3400,250-500 4 peaks (3 and 2),30.22911292619948,10.0,36.770833335,25.20833333,16.875,224.7916667,19.5473518390832,382.0989639209093,1163,485.22913080783985,10.0,387.86458335,111.97916665,51.04166667,10064.16667,1042.4545847810095,1086711.561330947,1162
20170227-NO-3400,250-500 5 peaks (3 and 2),32.71357310512073,10.0,40.572916667499996,27.8125,19.16666667,224.7916667,20.007478781205716,400.29920718039693,994,570.330647868872,10.0,475.8333333,130.0,56.875,10064.16667,1178.96769383999,1389964.8231183842,993
20170227-NO-3400,250-500 6 peaks (3 and 2),35.65303030286061,10.0,43.33333333,31.04166667,22.5,224.7916667,20.54886348366674,422.2557904703724,825,691.070236644551,10.0,589.635416675,154.5833333,60.572916667499996,10177.5,1387.8194963257972,1926042.9543819895,824
20170227-NO-3400,250-500 4 peaks (4 and 3),25.449492297205882,10.0,30.260416665,21.66666667,14.79166667,107.9166667,14.793346944227585,218.8431138122876,476,1235.0289473410317,10.41666667,1170.1041665,294.1666667,83.33333333,15412.08333,2266.7080494551606,5137965.3814648185,475
20170227-NO-3400,250-500 5 peaks (4 and 3),28.423438935151513,10.0,33.54166667,25.0,17.1875,107.9166667,15.534902837715748,241.33320617726878,363,1624.1551565340053,10.41666667,2048.28125,404.0625,89.4791666675,15808.125,2652.959547970477,7038194.363167718,362
20170227-NO-3400,250-500 6 peaks (4 and 3),31.91253063757353,10.83333333,38.07291667,28.125,21.04166667,107.9166667,16.158222698115654,261.0881607619,272,2175.083794600221,10.625,2935.8333334999998,679.5833333,133.0208333,17196.25,3362.1891894269725,11304316.145499602,271
20170228-0-3425,80-250 4 peaks (3 and 2),41.99387722614504,10.0,48.020833335,31.45833333,22.08333333,398.9583333,36.010143172118575,1296.7304112764782,524,1102.1777406047036,10.0,633.85416665,157.5,38.645833335,40795.83333,3717.172485217773,13817371.284860075,523
20170228-0-3425,80-250 5 peaks (3 and 2),50.47155017870968,11.25,56.61458333,38.541666665,29.114583335,398.9583333,39.47316271693725,1558.1305748778052,372,1558.7000224188948,10.0,879.58333335,181.875,40.416666665,40795.83333,4825.119779042457,23281780.88210673,371
20170228-0-3425,80-250 6 peaks (3 and 2),57.60159010554771,12.70833333,66.45833333,45.625,33.229166665,398.9583333,42.573957109285594,1812.5418239432895,283,2057.478575637872,10.0,1235.0520835,223.3333333,43.5937499975,41138.54167,5685.509479909501,32325018.046140805,282
20170228-0-3425,80-250 4 peaks (4 and 3),40.81275720172839,11.66666667,46.770833332500004,33.229166665,23.593750002500002,213.9583333,28.41597321135224,807.4675335482883,162,3654.0916149665213,10.20833333,2843.958333,379.1666667,45.625,76011.66667,9143.059005711058,83595527.9819141,161
20170228-0-3425,80-250 5 peaks (4 and 3),45.96666666672,14.58333333,53.33333333,36.45833333,27.91666667,213.9583333,30.182378504327968,910.975972178519,125,4751.407930067016,10.20833333,4339.84375,853.6458333,44.947916667499996,76037.29167,10560.906134311832,111532738.37774529,124
20170228-0-3425,80-250 6 peaks (4 and 3),51.48492907797873,18.54166667,56.5625,43.125,32.03125,213.9583333,32.59510874997717,1062.4411144228384,94,6312.719534118494,10.20833333,7739.583333,1121.875,53.54166667,76037.29167,12039.383917221454,144946765.1062506,93
20170228-0-3425,250-500 4 peaks (3 and 2),36.90073238317102,10.0,41.45833333,25.41666667,17.08333333,667.2916667,40.50963502864388,1641.0305301539308,842,675.4746333917717,10.0,352.9166667,85.83333333,30.83333333,37201.45833,2468.295422932875,6092482.294871382,841
20170228-0-3425,250-500 5 peaks (3 and 2),40.82630098452883,10.0,46.45833333,28.33333333,19.58333333,667.2916667,42.8906040646999,1839.6039170348517,711,802.3010563682676,10.0,466.61458335,100.52083335,33.95833333,37201.45833,2771.071177052584,7678835.468291595,710
20170228-0-3425,250-500 6 peaks (3 and 2),57.60159010554771,12.70833333,66.45833333,45.625,33.229166665,398.9583333,42.573957109285594,1812.5418239432895,283,2057.478575637872,10.0,1235.0520835,223.3333333,43.5937499975,41138.54167,5685.509479909501,32325018.046140805,282
20170228-0-3425,250-500 4 peaks (4 and 3),34.63264627659574,10.0,40.20833333,25.3125,17.239583335,267.9166667,30.027037469519673,901.6229791959383,376,1558.7288888470935,10.0,991.66666665,146.875,40.625,41652.08333,4296.583661219001,18460631.15785408,375
